name,address
t Tabakje,Zwaanshals 420, Rotterdam, 3035KT, The Netherlands
153A,Oostzeedijk Beneden 153A, Rotterdam, 3061VR, The Netherlands
2CV4U,Winselingseweg 16, unit 20, Nijmegen, 6541AK, The Netherlands
50/50 Budgetstore Middenweg,Middenweg 14, Amsterdam, 1097BM, The Netherlands
ADT Computers,Rijksstraatweg 133a, Leersum, 3956CL, The Netherlands
Akkon Sleep,Willemsweg 147, 6531 DG Nijmegen 147, Nijmegen, 6531DB, The Netherlands
Allekanten,Speelzijde 8, Den Haag, 2543XZ, The Netherlands
Angeles Mode Odijk,De Meent 32H, Odijk, 3984JK, The Netherlands
Angeles Mode Wijk bij Duurstede,Kostverlorenpad 1A, Wijk bij Duurstede, 3961CJ, The Netherlands
Barefoot & More,Kleine Oord 86, Arnhem, 6811HZ, The Netherlands
Beter Verpakt,Rijksstraatweg 62, Elst, 3921KA, The Netherlands
Bij Dani,Schoolstraat 104, Voorschoten, 2251BK, The Netherlands
Bij Lotte,Van Harenstraat 49, Wolvega, 8471JC, The Netherlands
BijBri,Herenstraat 132, Voorburg, 2271CL, The Netherlands
Bloemen Bij Joey,Eilandplein 500, Duiven, 6922ER, The Netherlands
BLOOM,De Brinken 4, Haren, 9752BW, The Netherlands
Boekhandel De Kler,Spoorhaag 144, Houten, 3995DV, The Netherlands
Boetiek,Zuidsingel 70, Amersfoort, 3811HD, The Netherlands
Books 4 Life Groningen,Dierenriemstraat 202, Groningen, 9742AM, The Netherlands
BOTMA & van BENNEKOM,Sonsbeeksingel 96, Arnhem, 6822EM, The Netherlands
BP bij de Weg,Twibaksdyk 6, Bolsward, 8701PP, The Netherlands
Brouwer heeft 't,Dorpsstraat 149-155, Lunteren, 6741AE, The Netherlands
Bruna Amsterdam CS,De Ruijterkade 42C, Amsterdam, 1012AA, The Netherlands
Bruna Baarn,Laanstraat 32, Baarn, 3743BG, The Netherlands
Bruna Barneveld,Jan van Schaffelaarstraat 20A, Barneveld, 3771BT, The Netherlands
Bruna Beunk,Vijf Meiplein 176-178, Leiden, 2321BT, The Netherlands
Bruna Bijlmer Arena,Johan Cruijff Boulevard 610, Amsterdam, 1101DS, The Netherlands
Bruna Emmeloord,Lange Nering 48, Emmeloord, 8302ED, The Netherlands
Bruna Peppelweg,Peppelweg 88A, Rotterdam, 3053GP, The Netherlands
Bruna Poolsterstraat,Poolsterstraat 107, Rotterdam, 3067LX, The Netherlands
Bruna Utrecht CS,Stationshal 5, Utrecht, 3511CB, The Netherlands
Bruna Voorthuizen,Van Den Berglaan 2a-b, Voorthuizen, 3781GG, The Netherlands
Bruna Wassenaar,Van Hogendorpstraat 135, Wassenaar, 2242PE, The Netherlands
Bruna Zeist,Slotlaan 197, Zeist, 3701GD, The Netherlands
Brute Bonen,Zodiakplein 90, Den Haag, 2516CD, The Netherlands
Buurthuis NuDe Toekomst,Mennonietenweg 15A, Wageningen, 6702AB, The Netherlands
Cadeaus & Meer,Amsterdamsestraatweg 275, Utrecht, 3551CE, The Netherlands
Calipage ELS Office,Stationsstraat 60, Oosterwolde, 8431EV, The Netherlands
Camping Vrijhaven,De Burd 25A, Heeg, 8621JX, The Netherlands
Caparis Drachten,Ampèrelaan 2, Drachten, 9207AM, The Netherlands
Caparis Heerenveen,Industrieweg 13, Heerenveen, 8944AS, The Netherlands
Caparis Leeuwarden,Orionweg 2, Leeuwarden, 8938AH, The Netherlands
Casa Sofia,Louwesweg 6G, Amsterdam, 1066EC, The Netherlands
CIGO Brouwer,Burgemeester de Vlugtlaan 178, Amsterdam, 1063BS, The Netherlands
CIGO Vinkhuizen,Siersteenlaan 440, Groningen, 9743ES, The Netherlands
Craf10,Buitenbulkweg 10, Tiel, 4005LA, The Netherlands
De Bloemenhoek,Dorpsplein 41, Westervoort, 6931CZ, The Netherlands
De Boekenkamer,Wesselseweg 178/2, Kootwijkerbroek, 3774RM, The Netherlands
De Boem Kringloopwinkel Ziederij,Ziederij 6, Amstelveen, 1185ZD, The Netherlands
De Bruin & Stacey Living,Gasthuisstraat 22, Venlo, 5911JK, The Netherlands
De Gieterij,Junusstraat 16, Wageningen, 6701AX, The Netherlands
De Gouden Schaar,Churchillweg 34-A, Wageningen, 6706AB, The Netherlands
De Jong Toys2Play (Novy),Hoofdstraat West 8, Noordwolde, 8391AN, The Netherlands
De Leest Schoenmakerij,Loowaard 32, Amsterdam, 1082LB, The Netherlands
De Lokatie Buikslotermeerplein,Buikslotermeerplein 2-10, Amsterdam, 1025EV, The Netherlands
De Lokatie Distelweg,Distelweg 85, Amsterdam, 1031HD, The Netherlands
De Lokatie Oost,Eerste Oosterparkstraat 236, Amsterdam, 1091HM, The Netherlands
De Meevaart,Balistraat 48a, Amsterdam, 1094JN, The Netherlands
De Nieuwe Weg,Nieuweweg 5, Groningen, 9711TA, The Netherlands
De Passant,Kerkstraat 23, Tegelen, 5931NL, The Netherlands
De Snipel,Grote Breedstraat 31, Dokkum, 9101KH, The Netherlands
Decokay van Slooten,Hamersveldseweg 22, Leusden, 3833GP, The Netherlands
Den Elzen Schoenmode By Syl,Van Diepeningenlaan 108, Leiderdorp, 2352KA, The Netherlands
Dierenspeciaalzaak De IJsbeer,Het Slot 2, Bunnik, 3981KC, The Netherlands
Dierenspeciaalzaak Voorschoten,Planciusplantsoen 24, Voorschoten, 2253TS, The Netherlands
Dierplaza Maxime,Cruquius 41, Amersfoort, 3825MJ, The Netherlands
Drogistotheek De Duffelt,Waterstraat 11A, Beek-Ubbergen, 6573BL, The Netherlands
Droppie,Van Limburg Stirumplein 1, Amsterdam, 1051BD, The Netherlands
Dutchcell,Bergse Dorpsstraat 106, Rotterdam, 3054GG, The Netherlands
Elbertsen's Warenhuis Wekerom,Edeseweg 156, Wekerom, 6733AJ, The Netherlands
Empatec Sneek,Tingietersstraat 1, Sneek, 8601WJ, The Netherlands
Energiehuiskamer,Pieter Stastokerf 30, Amersfoort, 3813PR, The Netherlands
Estafette recyclewinkel Burgum,Meester W.M. Oppedijk van Veenweg 3, Burgum, 9251GA, The Netherlands
Estafette recyclewinkel Franeker,Zuidelijke Industrieweg 1, Franeker, 8801JB, The Netherlands
Estafette recyclewinkel Harlingen,Industrieweg 12, Harlingen, 8861VH, The Netherlands
Estafette recyclewinkel Leeuwarden,Voltastraat 11, Leeuwarden, 8912AE, The Netherlands
Estafette recyclewinkel Oosterwolde,Venekoterweg 21, Oosterwolde, 8431HG, The Netherlands
Estafette recyclewinkel Sint Annaparochie,Dordtse Straat 1, Sint Annaparochie, 9076CL, The Netherlands
Estafette recyclewinkel Sneek,Akkerwinde 1, Sneek, 8607CC, The Netherlands
Eurowinkel,Oranjelaan 73, Driebergen-Rijsenburg, 3971HE, The Netherlands
Evers Janssen Tweewielers,Kanunnik van Osstraat 2A, 6525 TX Nijmegen 2A, Nijmegen, 6525TX, The Netherlands
Fair and Share,Geerstraat 21, Kampen, 8261HL, The Netherlands
Flexi-shop,Havenstraat 26, Erica, 7887BP, The Netherlands
Fotoservice Drachten,Noorderbuurt 33, Drachten, 9203AL, The Netherlands
Gebruikte schoolboeken,Dorpsstraat 83, Renkum, 6871AE, The Netherlands
Grand Prix Copyrette,Parnassusweg 214, Amsterdam, 1076AV, The Netherlands
GSM Walhalla,Kon. Julianaplein 18, Voorburg, 2273BR, The Netherlands
H!PP Tweedehandskleding,Grotestraat 66, Ede, 6711AN, The Netherlands
HdV Computers,Beurtschip 5, Heerenveen, 8447CL, The Netherlands
HenC Computers,Noordewierweg 176, Amersfoort, 3812DP, The Netherlands
Het Circulaire Ambachtscentrum,De Star 17a, Leidschendam, 2266NA, The Netherlands
Het Goed Assen,Blokmakerstraat 4, Assen, 9403VD, The Netherlands
Het Goed Emmen,Kapitein Grantstraat 24, Emmen, 7821AR, The Netherlands
Het Lokaal,Oliemolenhof 20, Amersfoort, 3812PB, The Netherlands
Hippe Kringloop,Brunelstraat 77, Assen, 9404KB, The Netherlands
Huis van de Wijk - 't Klooster,Afrikaanderplein 7, Rotterdam, 3072EA, The Netherlands
Huis van de Wijk - de Banier,Banierstraat 1, Rotterdam, 3032PA, The Netherlands
Huis van de Wijk - de Brink,Dreef 71, Rotterdam, 3075HA, The Netherlands
Huis van de Wijk - de Propeller,Jacob Loisstraat 18, Rotterdam, 3033RD, The Netherlands
Huis van de Wijk - Feijenoord,Persoonsdam 142, Rotterdam, 3071EE, The Netherlands
Huis van de Wijk - Grote Hagen,Grote Hagen 92, Rotterdam, 3078RC, The Netherlands
Huis van de Wijk - Irene,Oudelandstraat 75, Rotterdam, 3073LJ, The Netherlands
Huis van de Wijk - Lombardijen,Menanderstraat 89/90, Rotterdam, 3076AG, The Netherlands
Huis van de Wijk - Mozaiek,Schommelstraat 69, Rotterdam, 3035CG, The Netherlands
I Scream Coffee,Nieuwstraat 13-15, Leiden, 2312KA, The Netherlands
Infopunt Duurzaam Doen,Kerkstraat 4, Steenwijk, 8331JC, The Netherlands
It Nifelhoekje,Súd 83, Workum, 8711CT, The Netherlands
Jennies Tafel,Jousterkade 2, Sneek, 8601BN, The Netherlands
Jofel,Zonneplein 11, Amsterdam, 1033EJ, The Netherlands
Joline Jolink,Nieuwe Binnenweg 82, Rotterdam, 3015BC, The Netherlands
Kantoorvakhandel Dapper,Julianalaan 36, Bilthoven, 3722GR, The Netherlands
Kathmandu Amsterdam,Haarlemmerstraat 123, Amsterdam, 1013EN, The Netherlands
Kathmandu Utrecht,Oudegracht 260, Utrecht, 3511NV, The Netherlands
KIEM Lokaal,Wachterliedplantsoen 1, Amsterdam, 1055SB, The Netherlands
Kinderboerderij Hagerhof,Hagerlei 1, Venlo, 5912PP, The Netherlands
Kinderboerderij Wezenlanden,Almelose Kanaal 33, Zwolle, 8012BX, The Netherlands
KlusWijs,Vierhuisterweg 7, Surhuisterveen, 9231AR, The Netherlands
KOKOTOKO,Oosterstraat 26, Groningen, 9711NV, The Netherlands
Kringloop Bonnefooi,Oudedijk 94, Rotterdam, 3061AM, The Netherlands
Kringloop de ARM Hoograven,Verlengde Hoogravenseweg 63, Utrecht, 3525BB, The Netherlands
Kringloop Den Haag Hengelolaan,Hengelolaan 423, Den Haag, 2545JN, The Netherlands
Kringloop Den Haag Oude Haagweg,Oude Haagweg 30, Den Haag, 2552EP, The Netherlands
Kringloop Den Haag Weimarstraat,Weimarstraat 81, Den Haag, 2562GS, The Netherlands
Kringloop Het Warenhuis,Willem Barentszstraat 12, Leiden, 2315TX, The Netherlands
Kringloop HowBazar,Kosmonaut 13, Amersfoort, 3824MK, The Netherlands
Kringloop Red een Kind,Zambonistraat 4c, Kampen, 8263CE, The Netherlands
Kringloopwinkel Steenwijk,Boterweg 5, Tuk, 8334NS, The Netherlands
Kringloopwinkel Vollenhove,De Kampen 3, Vollenhove, 8325DD, The Netherlands
Kussens op maat,Timmerwerf 2, Kollum, 9291EH, The Netherlands
Lab Lou,Weteringlaan 1, De Bilt, 3732HZ, The Netherlands
Landwinkel De Lindeboom,Beusichemseweg 22, 't Goy, 3997MJ, The Netherlands
LENA Library De Jordaan,Westerstraat 174, Amsterdam, 1015LB, The Netherlands
LENA Library De Pijp,Daniël Stalpertstraat 76H, Amsterdam, 1072XK, The Netherlands
Leonie Roeffen Meubelstyling,Konijnenwal 2, Tiel, 4001HC, The Netherlands
Little Department Store,Kleiweg 97A, Rotterdam, 3051GK, The Netherlands
Livi's,Dorpsstraat 41, Groesbeek, 6561CA, The Netherlands
Machiel's Schoenmakerij en Sleutelservice,Langewal 4A, Gorredijk, 8401DD, The Netherlands
Marian's Hobbyshop,Dorpsstraat 8, Bennekom, 6721JK, The Netherlands
Marskramer Emmer-Compascuum,Runde Zuidzijde 113, Emmer-Compascuum, 7881HR, The Netherlands
Maxima's,Máximaplein 7, Leusden, 3832JS, The Netherlands
Meneer & Mevrouw Hoekstra,Langebuorren 29, Stiens, 9051BE, The Netherlands
Multaparts Veenendaal,Verlaat 9, Veenendaal, 3901RD, The Netherlands
Museon-Omniversum,Stadhouderslaan 37, Den Haag, 2517HV, The Netherlands
Naaiatelier Nieuw-West,Paul Krugerstraat 62, Nijmegen, 6543MZ, The Netherlands
Natuurboerderij De Brinkhorst,Wageningseberg 43, Amersfoort, 3825GR, The Netherlands
Natuurstad - de Beestenboel,Zandweg 13, Rozenburg, 3181HX, The Netherlands
Natuurstad - de Blijde Wei,Bergse Linker Rottekade 435, Rotterdam, 3069LV, The Netherlands
Natuurstad - de Bokkesprong,Tjalklaan 90, Rotterdam, 3028JK, The Netherlands
Natuurstad - de Kooi,Maeterlinckweg 85, Rotterdam, 3076GA, The Netherlands
Natuurstad - de Kraal,Langepad 60, Rotterdam, 3062CJ, The Netherlands
Natuurstad - de Molenwei,Brammertstraat 10, Rotterdam, 3084RV, The Netherlands
Natuurstad - de Oedenstee,Marthalaan 46, Hoogvliet Rotterdam, 3194EH, The Netherlands
Natuurstad - de Wilgenhof,Ringdijk 76, Rotterdam, 3054KV, The Netherlands
Nieuw Mos,Leusderweg 21/27, Amersfoort, 3811NK, The Netherlands
Onderdelenshop De Bilt,Hessenweg 164, De Bilt, 3731JN, The Netherlands
Party&More,Noarder Stasjonsstrjitte 40b, De Westereen, 9271CK, The Netherlands
pipoos Amsterdam West,Jan Pieter Heijestraat 182-184, Amsterdam, 1054MN, The Netherlands
Polly,Oudestraat 21, Assen, 9401EH, The Netherlands
Pooja Super Store,1e Graaf van Loonstraat 1E, Venlo, 5921JA, The Netherlands
Primera Duiven,Elshofpassage 42, Duiven, 6921BB, The Netherlands
Primera Passewaay,Kamperfoelie 16, Tiel, 4007TL, The Netherlands
Primera Ron Wolf,Dommer van Poldersveldtweg 271, Nijmegen, 6523CW, The Netherlands
Primera Stationskwartier,De Arend 7, Kampen, 8265NK, The Netherlands
Primera Weesp,Amstellandlaan 12, Weesp, 1382AX, The Netherlands
Punt Uit E-Fulfilment,Nieuw Amsterdamsestraat 40, Emmen, 7814VA, The Netherlands
Qeees,Branderweg 1D, Zwolle, 8042PD, The Netherlands
Re-Cycled ICT,Zwanenveld 9020, Nijmegen, 6538SB, The Netherlands
Regverdig,Over de Kelders 2, Leeuwarden, 8911JE, The Netherlands
ReShare Store Rotterdam,Korte Hoogstraat 11-13, Rotterdam, 3011GJ, The Netherlands
Restore Ede,Hoefweg 2, Ede, 6717LS, The Netherlands
Restore Veenendaal,Groeneveldselaan 14, Veenendaal, 3903AZ, The Netherlands
Romofashion,Hoofdstraat 22, Oldemarkt, 8375AP, The Netherlands
rotterzwam,Schiehaven 26, Rotterdam, 3024EC, The Netherlands
RoZus Bloemen en planten,Runneboom 14, Warnsveld, 7232CW, The Netherlands
RUDEBO,It Gruthof 2c, Makkum, 8754GZ, The Netherlands
Shop in Shop Vleuten,Hindersteinlaan 15, Utrecht, 3451EV, The Netherlands
Skyway Communication,Nieuwe Binnenweg 319-A, Rotterdam, 3021GH, The Netherlands
SoMuch Fashion,Wettertoer 17, Heerenveen, 8442PC, The Netherlands
Sportcentrum Valkenhuizen,Beukenlaan 15, Arnhem, 6823MA, The Netherlands
Stadsboerderij Herweijerhoeve,Anna Polakweg 7, Den Haag, 2533SW, The Netherlands
Stadsboerderij Landzigt,Aristoteleslaan 143, Den Haag, 2493ZN, The Netherlands
Stadsboerderij Molenweide,Stuwstraat 31, Den Haag, 2516TA, The Netherlands
Stadsboerderij Op den Dijk,Bovendijk 141 - 143, Den Haag, 2548AX, The Netherlands
Stadshart Amstelveen,Rembrandtweg 41a, Amstelveen, 1181GE, The Netherlands
Steck Utrecht,Gageldijk 3, Utrecht, 3566ME, The Netherlands
Stichting Kringloop Zwolle Ceintuurbaan,Ceintuurbaan 48, Zwolle, 8024AA, The Netherlands
Stichting Kringloop Zwolle Nieuwe Deventerweg,Nieuwe Deventerweg 6, Zwolle, 8014AG, The Netherlands
Stichting Kringloop Zwolle Nieuwe Veerallee,Nieuwe Veerallee 12, Zwolle, 8019AG, The Netherlands
Stichting Welkom,Nijverheidsweg 17, IJsselstein, 3401MC, The Netherlands
Studenten Bikeshop,Karrengas 26, Nijmegen, 6511GS, The Netherlands
Swan Market,Witte de Withstraat 23A, Rotterdam, 3012BL, The Netherlands
Taartdecoratief,Tuinstraat 75, Veenendaal, 3901RA, The Netherlands
Tabak & ToGo,Vierambachtsstraat 3, Rotterdam, 3022AA, The Netherlands
Tabakshop Java,Javastraat 77, Amsterdam, 1094HB, The Netherlands
Tabakshop Rex,Dapperstraat 9, Amsterdam, 1093AG, The Netherlands
Taxi Don,Raaigras 91, Leeuwarden, 8935EX, The Netherlands
Telefoon Reparatie Ede,Bellestein 15, Ede, 6714DP, The Netherlands
Tessa's Dierenspeciaalzaak,Dorpsstraat 151, Scherpenzeel, 3925KA, The Netherlands
The New Farm,Televisiestraat 2, Den Haag, 2525KD, The Netherlands
The Point Koperwiek,Koperwiek 47, Capelle aan den IJssel, 2903AD, The Netherlands
The Point Nieuwegein,Plein 12a, Nieuwegein, 3431LV, The Netherlands
The Read Shop Castellum,Cardo 19, Houten, 3995XJ, The Netherlands
The Read Shop Oude Dorp,Plein 11, Houten, 3991DK, The Netherlands
Tijdschriftenhandel De Berkel,Groenmarkt 4, Zutphen, 7201HX, The Netherlands
Toffe Zaken,Gedempte Haven 22, Grou, 9001AX, The Netherlands
Top1Toys Burgum,Schoolstraat 64, Burgum, 9251ED, The Netherlands
Ugarit minimarket,Verlengde Hereweg 76-1, Groningen, 9722AG, The Netherlands
ViaTim & Betsy,Meerlandpad 8, Arnhem, 6835BV, The Netherlands
ViaTim en A&B,Gansstraat 106, Utrecht, 3582EL, The Netherlands
ViaTim en Dees,Maaspad 3, Nieuwegein, 3433BL, The Netherlands
ViaTim en Ester,Uilenhorst 3, Leiden, 2317ZS, The Netherlands
ViaTim en Henk,Kapelstraat 62, Arnhem, 6822AW, The Netherlands
ViaTim Hoofdkantoor,Vlaardingweg 62, Rotterdam, 3044CK, The Netherlands
ViaTim XL Parcelshop,Vasteland 27, Rotterdam, 3011BJ, The Netherlands
Vondst,Arent Krijtsstraat 14, Diemen, 1111AG, The Netherlands
W70.Club,Weena 70, Rotterdam, 3012CM, The Netherlands
Walhalla,Nieuwe Ebbingestraat 38, Groningen, 9712NL, The Netherlands
WearWear,Mondriaanplein 20, Emmen, 7811DH, The Netherlands
Westfield Mall of the Netherlands,Eglantier 1C, Leidschendam, 2262AP, The Netherlands
What2Wear bij Gea,Dorpsstraat 47, Woudenberg, 3931EE, The Netherlands
Wieleroutfits Ouderkerk aan de Amstel,Hoger Einde-Zuid 13, Ouderkerk aan de Amstel, 1191AG, The Netherlands
Wijkcentrum Binnenbos,Hoog Kanje 168H, Zeist, 3708DL, The Netherlands
Wijkcentrum de Groene Stee,Wiekslag 92, Amersfoort, 3815GS, The Netherlands
Winkel Van Waarde,Eiland 8, Zwolle, 8011XR, The Netherlands
Winkeltje van Madame,Weverstraat 5, Oosterbeek, 6862DJ, The Netherlands
Wouter Reclame,Kazemat 10, Veenendaal, 3905NR, The Netherlands
You Mobile,Augustijnenstraat 17, Nijmegen, 6511KD, The Netherlands
Zie Je Zo,Frederik van de Paltshof 36, Rhenen, 3911LB, The Netherlands
Zorgwinkel Millingen,Burgemeester Eijckelhofstraat 1A, Millingen aan de Rijn, 6566AR, The Netherlands



